index,movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
72,Oliver & Company,18-Nov-88,Adventure,G,"$49,576,671 ","$102,254,492 "
73,Beaches,21-Dec-88,Drama,PG-13,"$57,041,866 ","$120,381,757 "
74,Three Fugitives,27-Jan-89,Comedy,PG-13,"$40,590,000 ","$85,757,817 "
75,New York Stories,1-Mar-89,Drama,PG,"$10,763,469 ","$22,740,861 "
76,Disorganized Crime,14-Apr-89,Comedy,,"$7,210,149 ","$15,233,465 "
77,Dead Poets Society,2-Jun-89,Drama,PG,"$95,860,116 ","$202,531,517 "
78,"Honey, I Shrunk the Kids",23-Jun-89,Adventure,PG,"$130,724,172 ","$276,191,669 "
79,Turner & Hooch,28-Jul-89,Comedy,PG,"$71,079,915 ","$150,176,361 "
80,Cheetah,18-Aug-89,Adventure,,"$7,882,250 ","$16,653,473 "
81,An Innocent Man,6-Oct-89,Drama,R,"$19,397,847 ","$40,983,414 "
82,Gross Anatomy,20-Oct-89,Drama,PG-13,"$11,346,186 ","$23,972,012 "
83,The Little Mermaid,15-Nov-89,Adventure,G,"$111,543,479 ","$223,726,012 "
84,Blaze,13-Dec-89,Drama,R,"$19,049,727 ","$39,884,640 "
85,Stella,2-Feb-90,Drama,PG-13,"$20,062,347 ","$40,077,147 "
86,Where the Heart Is,23-Feb-90,Comedy,,"$1,106,475 ","$2,210,321 "
87,Pretty Woman,23-Mar-90,Romantic Comedy,R,"$178,406,268 ","$356,389,765 "
88,Ernest Goes to Jail,6-Apr-90,Comedy,PG,"$25,029,569 ","$49,999,822 "
89,Spaced Invaders,27-Apr-90,Comedy,PG,"$15,000,000 ","$29,964,452 "
90,Fire Birds,24-May-90,Action,PG-13,"$14,760,451 ","$29,485,923 "
91,Dick Tracy,15-Jun-90,Action,PG,"$103,738,726 ","$207,231,621 "
92,Betsy's Wedding,22-Jun-90,Comedy,R,"$19,740,070 ","$39,433,357 "
93,Arachnophobia,18-Jul-90,Thriller/Suspense,PG-13,"$53,208,180 ","$106,290,270 "
94,DuckTales: The Movie - Treasure of thâ€¦,3-Aug-90,Adventure,G,"$18,075,331 ","$36,107,823 "
95,Taking Care of Business,17-Aug-90,Comedy,R,"$20,005,435 ","$39,963,460 "
96,Mr. Destiny,12-Oct-90,Comedy,PG-13,"$15,379,253 ","$30,722,056 "
97,The Rescuers Down Under,16-Nov-90,Adventure,G,"$27,931,461 ","$55,796,728 "
98,3 Men and a Little Lady,21-Nov-90,Comedy,PG,"$71,609,321 ","$143,108,869 "
99,Green Card,25-Dec-90,Romantic Comedy,PG-13,"$29,804,169 ","$59,679,131 "
100,White Fang,18-Jan-91,Adventure,PG,"$34,729,091 ","$69,540,672 "
101,Scenes from a Mall,22-Feb-91,Comedy,,"$9,563,393 ","$19,149,495 "
102,Haakon Haakonsen,1-Mar-91,Adventure,PG,"$15,024,232 ","$30,084,149 "
103,The Marrying Man,5-Apr-91,Romantic Comedy,R,"$12,454,768 ","$24,939,118 "
104,Oscar,26-Apr-91,Comedy,PG,"$23,562,716 ","$47,181,395 "
105,One Good Cop,3-May-91,Action,R,"$11,276,846 ","$22,580,472 "
106,What About Bob?,17-May-91,Comedy,PG,"$63,710,000 ","$127,571,325 "
107,Wild Hearts Can't Be Broken,24-May-91,Drama,,"$7,300,000 ","$14,617,333 "
108,The Rocketeer,21-Jun-91,Action,PG,"$46,573,027 ","$93,256,673 "
109,The Doctor,24-Jul-91,Drama,PG-13,"$37,497,480 ","$75,084,021 "
110,Paradise,18-Sep-91,Drama,PG-13,"$18,634,643 ","$37,313,540 "
111,Deceived,27-Sep-91,Thriller/Suspense,PG-13,"$28,738,096 ","$57,544,453 "
112,Ernest Scared Stupid,11-Oct-91,Comedy,PG,"$14,143,280 ","$28,320,147 "
113,Billy Bathgate,1-Nov-91,Drama,R,"$15,565,363 ","$31,167,691 "
114,Beauty and the Beast,13-Nov-91,Musical,G,"$218,951,625 ","$363,017,667 "
115,Father of the Bride,20-Dec-91,Comedy,PG,"$89,325,780 ","$179,821,881 "
116,The Hand That Rocks the Cradle,10-Jan-92,Thriller/Suspense,R,"$88,036,683 ","$178,831,137 "
117,Medicine Man,7-Feb-92,Drama,PG-13,"$44,948,240 ","$91,304,495 "
118,Blame it on the Bellboy,6-Mar-92,Comedy,PG-13,"$2,891,055 ","$5,872,667 "
119,Noises Off...,20-Mar-92,Comedy,PG-13,"$2,280,148 ","$4,631,720 "
120,Straight Talk,3-Apr-92,Comedy,PG,"$21,202,099 ","$43,068,356 "
121,Newsies,8-Apr-92,,PG,"$2,706,352 ","$5,497,481 "
122,Passed Away,24-Apr-92,,PG-13,"$4,030,793 ","$8,187,848 "
123,Encino Man,22-May-92,Comedy,PG,"$40,057,130 ","$81,369,058 "
124,Sister Act,29-May-92,Comedy,PG,"$139,605,150 ","$283,583,472 "
125,Honey I Blew Up the Kid,17-Jul-92,Comedy,PG,"$58,662,452 ","$119,162,518 "
126,A Stranger Among Us,17-Jul-92,Drama,PG-13,"$12,282,994 ","$24,950,752 "
127,3 Ninjas,7-Aug-92,Action,PG,"$29,028,000 ","$58,965,304 "
128,A Gun in Betty Lou's Handbag,21-Aug-92,,PG-13,"$3,591,460 ","$7,295,423 "
129,Captain Ron,18-Sep-92,Comedy,PG-13,"$22,518,097 ","$45,741,576 "
130,Sarafina!,18-Sep-92,Drama,PG-13,"$7,306,242 ","$14,841,352 "
131,Innocent Blood,25-Sep-92,Horror,R,"$4,877,567 ","$9,907,922 "
132,The Mighty Ducks,2-Oct-92,Comedy,PG,"$50,752,337 ","$103,120,810 "
133,1492: Conquest of Paradise,9-Oct-92,Adventure,PG-13,"$7,099,531 ","$14,421,454 "
134,Consenting Adults,16-Oct-92,Drama,R,"$21,591,728 ","$43,859,823 "
135,Aladdin,11-Nov-92,Comedy,G,"$217,350,219 ","$441,969,178 "
136,The Distinguished Gentleman,4-Dec-92,Comedy,R,"$46,434,570 ","$94,349,900 "
137,The Muppet Christmas Carol,11-Dec-92,Comedy,G,"$27,281,507 ","$55,417,615 "
138,Alive,15-Jan-93,Adventure,R,"$36,299,670 ","$73,914,543 "
139,Aspen Extreme,22-Jan-93,Romantic Comedy,PG-13,"$7,843,388 ","$15,970,955 "
140,Homeward Bound: The Incredible Journey,3-Feb-93,Adventure,G,"$41,833,324 ","$85,182,343 "
141,The Cemetery Club,3-Feb-93,Comedy,PG-13,"$5,583,621 ","$11,369,541 "
142,Swing Kids,5-Mar-93,Musical,PG-13,"$5,632,086 ","$11,468,231 "
143,A Far Off Place,12-Mar-93,Adventure,PG,"$12,890,752 ","$26,248,558 "
144,Born Yesterday,26-Mar-93,Romantic Comedy,PG,"$17,760,754 ","$36,165,012 "
145,The Adventures of Huck Finn,2-Apr-93,Adventure,PG,"$24,103,594 ","$49,080,505 "
146,Bound by Honor,16-Apr-93,,R,"$4,496,583 ","$9,156,084 "
147,Indian Summer,23-Apr-93,Comedy,R,"$14,717,851 ","$29,968,953 "
148,Super Mario Bros.,28-May-93,Action,PG,"$20,844,907 ","$42,445,058 "
149,Guilty as Sin,4-Jun-93,Thriller/Suspense,R,"$22,622,537 ","$46,064,723 "
150,Life With Mikey,4-Jun-93,Comedy,PG,"$12,349,549 ","$25,146,538 "
151,What's Love Got to Do With It,9-Jun-93,Drama,R,"$39,100,956 ","$79,618,610 "
152,Son in Law,2-Jul-93,Comedy,PG-13,"$25,989,889 ","$52,921,433 "
153,Hocus Pocus,16-Jul-93,Comedy,PG,"$39,360,491 ","$80,147,079 "
154,Another Stakeout,23-Jul-93,Comedy,PG-13,"$20,107,504 ","$40,943,541 "
155,My Boyfriend's Back,6-Aug-93,,PG-13,"$3,218,882 ","$6,554,384 "
156,Father Hood,27-Aug-93,,PG-13,"$3,268,203 ","$6,654,819 "
157,The Joy Luck Club,8-Sep-93,Drama,R,"$32,790,064 ","$66,768,171 "
158,Money for Nothing,10-Sep-93,Comedy,R,"$1,044,824 ","$2,127,496 "
159,The Program,24-Sep-93,Action,R,"$23,042,200 ","$46,919,256 "
160,Cool Runnings,1-Oct-93,Comedy,PG,"$68,856,263 ","$140,392,731 "
161,The Nightmare Before Christmas,13-Oct-93,Musical,PG,"$50,408,318 ","$100,026,637 "
162,The Three Musketeers,12-Nov-93,Adventure,PG,"$53,661,805 ","$109,310,377 "
163,Sister Act 2 Back in the Habit,10-Dec-93,Comedy,PG,"$57,319,029 ","$116,965,668 "
164,Tombstone,25-Dec-93,Western,R,"$56,505,065 ","$115,781,734 "
165,The Air Up There,7-Jan-94,Comedy,PG,"$20,782,439 ","$42,940,186 "
166,Cabin Boy,7-Jan-94,Comedy,PG-13,"$3,469,493 ","$7,168,577 "
167,Iron Will,14-Jan-94,Drama,PG,"$20,623,071 ","$42,610,902 "
168,Red Rock West,28-Jan-94,,R,"$2,502,551 ","$5,170,709 "
169,Blank Check,11-Feb-94,Comedy,PG,"$30,573,770 ","$63,170,804 "
170,Angie,4-Mar-94,Comedy,R,"$9,252,349 ","$19,116,981 "
171,The Ref,9-Mar-94,Comedy,R,"$11,325,885 ","$23,401,275 "
172,D2: The Mighty Ducks,25-Mar-94,Comedy,PG,"$45,604,206 ","$94,226,333 "
173,Holy Matrimony,8-Apr-94,Comedy,,"$713,234 ","$1,473,665 "
174,White Fang 2: Myth of the White Wolf,15-Apr-94,Adventure,PG,"$8,752,399 ","$18,083,994 "
175,The Inkwell,22-Apr-94,Comedy,R,"$8,864,699 ","$18,316,030 "
176,When a Man Loves a Woman,29-Apr-94,Drama,R,"$50,021,959 ","$103,354,194 "
177,3 Ninjas Kick Back,6-May-94,Action,PG,"$11,744,960 ","$24,267,154 "
178,Renaissance Man,3-Jun-94,Comedy,PG-13,"$24,172,899 ","$49,945,474 "
179,The Lion King,15-Jun-94,Adventure,G,"$422,780,140 ","$761,640,898 "
180,I Love Trouble,29-Jun-94,Romantic Comedy,PG,"$30,806,194 ","$63,651,027 "
181,Angels in the Outfield,15-Jul-94,Comedy,PG,"$50,236,831 ","$103,798,152 "
182,In the Army Now,12-Aug-94,Comedy,PG,"$28,881,266 ","$59,673,787 "
183,Color of Night,19-Aug-94,Thriller/Suspense,R,"$19,750,470 ","$40,804,816 "
184,Camp Nowhere,26-Aug-94,Comedy,PG,"$10,442,641 ","$21,576,332 "
185,It's Pat,26-Aug-94,Comedy,,"$60,822 ","$125,666 "
186,A Simple Twist of Fate,2-Sep-94,Drama,PG-13,"$3,404,935 ","$7,035,189 "
187,Quiz Show,14-Sep-94,Drama,PG-13,"$24,787,282 ","$50,840,394 "
188,Terminal Velocity,23-Sep-94,Action,PG-13,"$16,478,900 ","$34,048,315 "
189,Ed Wood,30-Sep-94,Comedy,R,"$5,828,466 ","$12,042,634 "
190,The Puppet Masters,21-Oct-94,Horror,R,"$8,579,626 ","$17,727,017 "
191,Squanto: A Warrior's Tale,28-Oct-94,Drama,PG,"$3,319,344 ","$6,858,345 "
