Map,TotalPicks,GroupAPicks,GroupBPicks,PlayoffsPicks,TotalBans,GroupABans,GroupBBans,PlayoffsBans,AtkWins,AtkWin%,DefWins,DefWin%
Ascent,13,1,5,7,11,4,0,7,130,46.9,147,53.1
Bind,6,0,1,5,18,5,4,9,63,48.8,66,51.2
Breeze,4,2,0,2,20,3,5,12,44,60.3,29,39.7
Fracture,9,3,2,4,14,2,3,9,75,46.0,88,54.0
Haven,14,2,4,8,10,3,1,6,91,51.4,86,48.6
Icebox,19,5,2,12,5,0,3,2,135,51.9,125,48.1
Split,11,2,1,8,12,3,4,5,97,45.8,115,54.2
