rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
403,Constellation Brands,8615,0.03,1998,0.00,27105,43764,44,9300
404,Expedia Group,8598,0.65,12,0.00,21548,30477,111,14800
405,CommScope Holding,8587,0.02,463,0.00,13260,1630,49,30000
406,Celanese,8537,0.51,1890,0.05,11975,15434,71,8529
407,Global Payments,8524,0.15,966,0.65,45280,38546,13,25000
408,Owens Corning,8498,0.21,995,0.00,10015,9065,5,20000
409,Campbell Soup,8476,0.06,1002,0.39,11734,13447,74,14100
410,Huntsman,8453,0.40,1045,0.01,9392,8047,50,9000
411,Franklin Resources,8426,0.51,1831,1.29,24168,14019,73,10300
412,Avery Dennison,8408,0.21,740,0.33,7972,14327,5,36000
413,Masco,8375,0.15,410,0.67,5575,12063,15,20000
414,CenterPoint Energy,8352,0.06,1486,0.00,37679,19286,72,9418
415,Fifth Third Bancorp,8329,0.01,2770,0.94,211116,29511,57,19112
416,WEC Energy Group,8316,0.15,1300,0.08,38989,31484,16,6938
417,S&P Global,8297,0.12,3024,0.29,15026,142344,24,22850
418,FM Global,8275,0.22,2842,0.64,32161,0,5,5560
419,Polaris,8252,0.16,494,2.96,5048,6264,12,16000
420,Williams0Sonoma,8246,0.22,1126,0.66,4626,10376,5,16600
421,Autoliv,8230,0.11,435,1.33,7537,6691,29,58176
422,Arthur J. Gallagher,8209,0.17,907,0.11,33345,36599,6,39000
423,Motorola Solutions,8171,0.10,1245,0.31,12189,40556,28,18700
424,Zillow Group,8147,1.44,528,0.00,10696,12287,268,8005
425,Opendoor Technologies,8021,2.11,662,0.00,9506,5364,394,2816
426,J.M. Smucker,8003,0.03,876,0.12,16284,14686,48,7100
427,Anywhere Real Estate,7983,0.28,343,0.00,7210,1852,18,9748
428,Oshkosh,7953,0.16,409,0.26,6722,6704,6,15000
429,MasTec,7952,0.26,329,0.02,7121,6657,12,27000
430,GXO Logistics,7940,0.00,153,0.00,7271,8193,0,97500
431,APA,7928,0.84,973,0.00,13303,14332,164,2253
432,Boise Cascade,7926,0.45,713,3.07,2573,2740,61,6130
433,Dover,7907,0.18,1124,0.64,10404,22610,4,25000
434,Genworth Financial,7882,0.09,904,4.08,99171,1918,86,2500
435,Bath & Body Works,7882,0.34,1334,0.58,6026,11420,178,32850
436,Booz Allen Hamilton Holding,7859,0.05,609,0.26,5500,11705,45,27700
437,Coinbase Global,7839,5.14,3624,10.24,21274,41670,0,3730
438,Zimmer Biomet Holdings,7836,0.12,402,0.00,23456,26772,24,19500
439,Westinghouse Air Brake Technologies,7822,0.04,558,0.35,18454,17819,55,25000
440,Zoetis,7776,0.17,2037,0.24,13900,89009,9,12100
441,Packaging Corp. of America,7730,0.16,841,0.83,7837,14628,8,15200
442,LPL Financial Holdings,7721,0.32,460,0.03,7992,14609,24,5919
443,T. Rowe Price,7672,0.24,3083,0.30,12509,34443,4,7529
444,Fortune Brands Home & Security,7656,0.26,772,0.40,7936,9831,12,28056
445,Casey's General Stores,7654,0.06,313,0.19,4460,7354,74,27583
446,A0Mark Precious Metals,7613,0.39,160,4.23,1192,891,49,347
447,Hess,7583,0.58,559,0.00,20515,33155,96,1545
448,Vertex Pharmaceuticals,7574,0.22,2342,0.14,13433,66437,0,3900
449,KeyCorp,7561,0.03,2625,0.96,186346,20593,53,16974
450,Chipotle Mexican Grill,7547,0.26,653,0.84,6653,44347,14,97660
451,CMS Energy,7538,0.13,1353,0.79,28753,20292,21,8813
452,Arconic,7504,0.32,397,0.00,6580,2691,24,13900
453,Taylor Morrison Home,7501,0.22,663,1.72,8728,3302,1,3000
454,American Financial Group,7462,0.06,1995,1.73,28931,12368,78,6600
455,UGI,7447,0.14,1467,1.76,16723,7599,19,11300
456,Science Applications International,7394,0.05,277,0.33,5746,5166,44,25090
457,Avantor,7386,0.16,573,3.91,13897,20629,19,13500
458,Hanesbrands,7348,0.10,77,0.00,7071,5191,26,58000
459,Clorox,7341,0.09,710,0.24,6334,17109,32,9000
460,KBR,7339,0.27,18,0.00,6199,7635,10,28000
461,TravelCenters of America,7337,0.51,59,0.00,3509,638,79,16540
462,Hertz Global Holdings,7336,0.40,366,0.00,19783,9509,46,23000
463,Analog Devices,7318,0.31,1390,0.14,52322,86441,18,24700
464,Securian Financial Group,7317,0.07,312,0.28,75169,0,43,6941
465,Darden Restaurants,7196,0.08,629,0.00,10656,16981,88,156883
466,Graphic Packaging Holding,7156,0.09,204,0.22,10457,6154,31,25000
466,NCR,7156,0.15,97,0.00,11641,5475,20,38000
468,Brighthouse Financial,7142,0.16,108,0.00,259840,3959,115,1500
469,PPL,7127,0.06,1480,2.01,33223,21002,87,5607
470,Cintas,7116,0.00,1111,0.27,8237,43567,60,40000
471,Xerox Holdings,7038,0.00,455,3.37,13223,3123,56,23300
472,Rockwell Automation,6997,0.11,1358,0.33,10702,32538,32,24500
473,Citizens Financial Group,6986,0.09,2319,1.19,188409,19136,92,17463
474,KLA,6919,0.19,2078,0.71,10271,55171,6,11425
475,Camping World Holdings,6914,0.27,279,1.28,4373,2665,21,12834
476,Ingredion,6894,0.15,117,0.66,6999,5814,13,12000
477,Veritiv,6851,0.08,145,3.23,2438,2008,38,6100
478,Beacon Roofing Supply,6820,0.02,243,0.00,5549,4176,58,6676
479,Diamondback Energy,6797,1.42,2182,0.00,22898,24320,302,870
480,Victoria's Secret,6785,0.00,646,0.00,4344,4330,0,24000
481,Academy Sports and Outdoors,6773,0.19,671,1.17,4585,3434,6,16508
482,Sanmina,6757,0.03,269,0.93,4207,2569,64,33500
483,ON Semiconductor,6740,0.28,1010,3.31,9626,27079,26,31650
484,Commercial Metals,6730,0.23,413,0.48,4639,5057,8,11089
485,EnLink Midstream,6686,0.72,22,0.00,8483,4671,145,1073
486,Southwestern Energy,6667,1.89,25,0.00,11848,7990,407,938
487,Equinix,6636,0.11,500,0.35,27919,67281,26,10944
488,Dillard's,6624,0.49,863,0.00,3246,4928,97,25350
489,Regions Financial,6605,0.01,2521,1.30,162938,20861,55,19626
490,Yum Brands,6584,0.17,1575,0.74,5966,34253,12,25650
491,Landstar System,6540,0.58,382,0.99,2046,5600,115,1399
492,CF Industries Holdings,6538,0.59,917,1.89,12375,21551,117,3003
493,Northern Trust,6488,0.03,1545,0.28,183890,24215,50,21100
494,Robert Half International,6461,0.27,599,0.96,2952,12638,25,14600
495,Compass,6421,0.73,494,0.00,1801,3359,151,4775
496,Hasbro,6420,0.18,429,0.93,10038,11384,2,6640
497,Roper Technologies,6416,0.16,1153,0.21,23714,49869,9,19300
498,ARKO,6413,0.88,59,3.49,2942,1134,183,11236
499,Frontier Communications,6411,0.10,0,0.00,16481,6763,97,15640
500,Ameren,6394,0.10,990,0.14,35735,24199,31,9116
501,O0I Glass,6357,0.04,149,0.40,8832,2058,46,24000
502,Chemours,6345,0.28,608,1.78,7550,5015,25,6400
503,Crown Castle International,6340,0.09,1096,0.04,39040,79937,36,5000
504,Agilent Technologies,6319,0.18,1210,0.68,10705,39714,2,17000
505,McCormick,6318,0.13,755,0.01,12906,26754,23,14000
506,Skechers U.S.A.,6310,0.37,742,6.52,6491,6360,52,8950
507,Watsco,6280,0.24,419,0.55,3086,11843,17,6875
508,Live Nation Entertainment,6268,2.37,651,0.00,14402,26425,486,16200
509,Lululemon athletica,6257,0.42,975,0.66,4943,46718,78,29000
510,ABM Industries,6229,0.04,126,420.00,4436,3079,48,124000
511,Post Holdings,6227,0.09,167,207.38,12415,4284,37,10735
512,Moody's,6218,0.16,2214,0.25,14680,62548,12,13460
513,Select Medical Holdings,6205,0.12,402,0.55,7360,3209,26,43200
514,Alaska Air Group,6176,0.73,478,0.00,13951,7314,147,21691
515,Big Lots,6151,0.01,178,0.72,3927,988,66,23350
516,Amkor Technology,6138,0.22,643,0.90,6039,5313,9,30400
517,Sinclair Broadcast Group,6134,0.03,414,0.00,12541,2008,52,11500
518,RPM International,6106,0.11,503,0.65,6253,10561,29,15490
519,M&T Bank,6106,0.03,1859,0.37,155107,21875,75,17342
520,Sprouts Farmers Market,6100,0.06,244,0.15,2923,3547,83,31000
521,Huntington Bancshares,6080,0.16,1295,0.59,174064,21123,11,18442
522,CACI International,6044,0.06,457,0.42,6172,7051,49,22000
523,JetBlue Airways,6037,1.04,182,0.00,13642,4787,229,17459
524,SVB Financial Group,6027,0.48,1833,0.52,211478,32901,89,6567
525,Fastenal,6011,0.06,925,0.08,4299,34188,46,18370
526,GameStop,6011,0.18,381,0.00,3499,12717,5,22500
527,Knight0Swift Transportation Holdings,5998,0.28,743,0.81,10656,8386,24,27650
528,Airbnb,5992,0.77,352,0.00,13709,110420,160,6132
529,Patterson,5912,0.08,156,0.00,2752,3160,38,7800
530,Penn National Gaming,5905,0.65,421,0.00,16872,7140,129,21973
531,ServiceNow,5896,0.31,230,0.94,10798,111378,39,16881
532,Nasdaq,5886,0.05,1187,0.27,20115,29298,52,5814
533,Brunswick,5846,0.35,593,0.59,5425,6197,59,18582
534,Resideo Technologies,5846,0.15,242,5.54,5853,3456,11,13300
535,Chesapeake Energy,5809,0.12,0,0.00,11009,11136,22,1300
536,Petco Health and Wellness,5807,0.18,164,0.00,6498,5930,5,28495
537,Kemper,5793,0.11,121,1.29,14917,3606,23,10300
538,Hilton Worldwide Holdings,5788,0.34,410,0.00,15441,42357,58,142000
539,Cerner,5765,0.05,556,0.29,7434,27492,49,25150
540,Levi Strauss,5764,0.30,554,0.00,5900,7875,40,16600
541,Tapestry,5746,0.16,834,0.00,8382,9807,13,14250
542,NetApp,5744,0.06,730,0.11,9360,18471,45,11000
543,KB Home,5725,0.37,565,0.91,5836,2858,60,2244
544,Continental Resources,5719,1.21,1661,0.00,18591,22342,274,1254
545,Intuitive Surgical,5710,0.31,1705,0.61,13555,108362,46,9793
546,Under Armour,5684,0.27,360,0.00,4991,7712,32,12300
547,MDU Resources Group,5681,0.03,378,0.03,8910,5419,61,12826
548,Silgan Holdings,5677,0.15,359,0.16,7771,5104,18,15720
549,Ryerson Holding,5675,0.64,294,0.00,2366,1345,127,4000
550,Ingersoll Rand,5655,0.15,563,0.00,15155,20541,17,16000
551,Hologic,5632,0.49,1872,0.68,8920,19305,90,6705
552,Electronic Arts,5629,0.02,837,0.73,13288,35577,67,11000
553,Zebra Technologies,5627,0.27,837,0.66,6215,21959,28,9800
554,Coty,5616,0.17,201,0.00,13691,7541,128,11430
555,Schneider National,5609,0.23,405,0.92,3937,4552,10,17050
556,Sonoco Products,5590,0.07,86,1.41,5073,6099,45,20500
557,Concentrix,5587,0.00,406,0.00,5046,8605,0,290000
558,Evergy,5587,0.14,880,0.42,28521,15513,26,4930
559,Cornerstone Building Brands,5583,0.21,666,0.00,5828,3089,2,21700
560,Coca0Cola Consolidated,5563,0.11,190,0.10,3446,4657,34,15050
561,Greif,5556,0.23,391,2.59,5816,3134,11,16000
562,Vulcan Materials,5552,0.14,671,0.15,13683,24413,23,11912
563,Ametek,5547,0.22,990,0.14,11898,30787,3,18500
564,Monster Beverage,5541,0.21,1378,0.02,7805,42296,2,3775
565,Sealed Air,5534,0.13,507,0.01,6229,9921,31,16500
566,NOV,5524,0.09,250,0.00,9550,7700,109,27043
567,Las Vegas Sands,5505,0.52,961,0.00,20059,29696,87,44600
568,Martin Marietta Materials,5493,0.16,703,0.03,14393,24015,22,10000
569,Marathon Oil,5467,0.77,946,0.00,16994,18350,164,1531
570,Mattel,5458,0.19,903,6.13,6394,7823,7,36300
571,Microchip Technology,5438,0.03,349,0.39,16479,41777,66,19500
572,Harley0Davidson,5336,0.32,650,499.79,11051,6063,42,5800
573,Telephone & Data Systems,5329,0.02,156,0.31,13493,2163,61,8800
574,ADT,5307,0.00,341,0.00,16894,6843,70,25000
575,First Republic Bank,5305,0.18,1478,0.39,181087,29114,1,6295
576,Warner Music Group,5301,0.19,304,0.00,7211,19486,3,5900
577,Pool,5296,0.35,651,0.77,3230,16967,47,5650
578,Old Dominion Freight Line,5256,0.31,1034,0.54,4822,34308,41,23663
579,Fortive,5255,0.13,608,0.62,16466,21878,23,18000
580,MDC Holdings,5255,0.35,574,0.56,4964,2693,49,2080
581,NGL Energy Partners,5243,0.74,640,0.00,5947,289,430,997
582,Edwards Lifesciences,5233,0.19,1503,0.83,8503,73141,7,15700
583,Hanover Insurance Group,5228,0.08,419,0.17,14254,5318,41,4400
584,Syneos Health,5213,0.18,235,0.22,8237,8437,2,27443
585,Xylem,5195,0.07,427,0.68,8276,15355,47,16700
586,Church & Dwight,5190,0.06,828,0.05,7997,24119,51,5100
587,American Axle & Manufacturing,5157,0.10,6,0.00,5636,888,40,18000
588,Meritage Homes,5141,0.14,737,0.74,4808,2907,11,1773
589,Workday,5139,0.19,29,0.00,10499,60583,5,15200
590,Rush Enterprises,5126,0.08,241,1.10,3120,2789,45,7141
591,Yellow,5122,0.14,109,0.00,2426,360,18,32000
592,Encompass Health,5122,0.10,412,0.45,6865,7071,38,35681
593,Simon Property Group,5117,0.11,2250,1.02,33777,43198,33,2850
594,Globe Life,5113,0.08,745,0.02,29768,9977,50,3222
595,Skyworks Solutions,5109,0.52,1498,0.84,8591,21548,95,10945
596,Endeavor Group Holdings,5078,0.46,297,0.00,11435,20363,78,7700
597,Twitter,5078,0.37,221,0.00,14060,30977,50,7500
598,Leggett & Platt,5073,0.19,402,0.63,5307,4659,0,20300
599,Western Union,5071,0.05,806,0.08,8824,7375,58,10500
600,PerkinElmer,5067,0.34,943,0.30,15001,22009,39,16700
601,SS&C Technologies Holdings,5051,0.08,800,0.28,17333,19235,49,24900
602,CUNA Mutual Group,5050,0.25,622,3.28,44345,0,13,4100
603,FMC,5045,0.09,737,0.34,10581,16564,48,6400
604,Carlisle,5030,0.19,422,0.32,7247,12805,5,11250
605,American Eagle Outfitters,5011,0.33,420,0.00,3787,2837,37,24000
606,Core & Main,5004,0.37,166,3.49,4434,5949,0,4100
607,Vertiv Holdings,4998,0.14,120,0.00,6940,5264,17,24000
608,Broadridge Financial Solutions,4994,0.10,548,0.18,8120,18183,40,13704
609,Ingles Markets,4988,0.08,250,0.40,2018,1691,50,18460
610,TPG,4976,1.35,2181,1.98,8962,9305,0,1013
611,Insperity,4973,0.16,124,0.10,1753,3850,14,3600
612,Howmet Aerospace,4972,0.06,258,0.01,10219,15055,105,19900
613,R.R. Donnelley & Sons,4964,0.08,4,0.96,3131,0,114,32000
614,Keysight Technologies,4941,0.17,894,0.43,7781,28747,13,14300
615,Tempur Sealy International,4931,0.34,625,0.79,4323,4998,37,12000
616,Scotts Miracle0Gro,4925,0.19,513,0.32,4800,6835,9,8050
617,Equifax,4924,0.19,744,0.43,11041,29142,9,12700
618,Kelly Services,4910,0.09,156,0.00,2894,856,47,7400
619,NiSource,4900,0.05,585,0.00,24157,12891,70,7307
620,OneMain Holdings,4895,0.00,1314,0.80,22079,6043,84,8800
621,DoorDash,4888,0.69,468,0.00,6809,40830,148,8600
622,Avient,4819,0.49,231,0.75,4997,4388,80,8700
623,Sanderson Farms,4800,0.35,455,15.10,2345,4185,39,17662
624,TransDigm Group,4798,0.07,680,0.03,19315,36136,108,13300
625,Stifel Financial,4783,0.25,825,0.64,34050,7226,8,8600
626,JELD0WEN Holding,4772,0.13,169,0.84,3739,1826,26,24700
627,Ares Management,4771,1.23,409,1.69,21605,23821,0,2100
628,Elanco Animal Health,4765,0.46,472,0.00,16483,12345,71,9800
629,Prologis,4759,0.07,2940,0.98,58486,119525,45,2053
630,Welltower,4742,0.03,336,0.66,34910,43002,69,464
631,Darling Ingredients,4741,0.33,651,1.19,6134,12987,29,9900
632,Juniper Networks,4735,0.07,253,0.02,8887,11987,50,10191
633,Gartner,4734,0.16,794,1.98,7416,24477,21,16600
634,Par Pacific Holdings,4710,0.51,81,0.00,2570,783,91,1336
635,Hubbell,4704,0.12,400,0.14,5282,9960,33,18300
636,CME Group,4690,0.04,2636,0.25,196780,85492,99,3480
637,Nexstar Media Group,4648,0.03,835,0.03,13265,7728,61,11817
638,Tutor Perini,4642,0.13,92,0.15,4725,552,135,7800
639,Antero Resources,4619,0.32,187,0.00,13897,9608,33,519
640,Teledyne Technologies,4614,0.50,445,0.11,14430,22103,92,14500
641,Snap0on,4602,0.17,821,0.31,6760,10976,18,12800
642,Rent0A0Center,4584,0.63,135,0.35,2993,1487,138,14290
643,Covetrus,4575,0.05,54,0.00,3410,2319,50,4873
644,Crestwood Equity Partners,4569,1.03,79,0.00,4446,2932,260,645
645,Louisiana0Pacific,4553,0.63,1377,1.76,2194,5344,142,4800
646,Urban Outfitters,4549,0.32,311,250.31,3791,2421,32,16330
647,Penn Mutual Life Insurance,4546,0.23,523,0.82,44191,0,2,3194
648,Amerco,4542,0.14,611,0.38,14652,11705,28,22052
649,TriNet Group,4540,0.13,338,0.24,3309,6483,31,2800
650,Sentry Insurance Group,4526,0.26,740,2.67,23881,0,8,4064
651,Illumina,4526,0.40,762,0.16,15217,54856,55,10775
652,Iron Mountain,4492,0.08,450,0.31,14450,16060,47,25000
653,LCI Industries,4473,0.60,288,0.82,3288,2625,131,13900
654,Marvell Technology,4462,0.50,421,0.00,22109,60796,0,6712
655,PennyMac Financial Services,4450,0.02,1004,0.39,18777,2949,88,7208
656,Digital Realty Trust,4428,0.13,1709,3.80,36370,40338,29,3030
657,TreeHouse Foods,4406,0.04,13,1.91,5207,1800,93,10000
658,Ralph Lauren,4401,0.29,121,1.32,7888,8073,208,16200
659,Mattress Firm Group,4393,0.35,165,2.31,3539,0,0,8900
660,American National Group,4392,0.16,699,0.50,31320,5084,24,4545
661,Autodesk,4386,0.16,497,0.59,8607,46580,24,12600
662,Domino's Pizza,4357,0.06,511,0.04,1672,14666,52,10450
663,ASGN,4334,0.10,410,1.05,3503,6022,41,3900
664,Flowers Foods,4331,0.01,206,0.35,3253,5439,76,8900
665,BlueLinx Holdings,4277,0.38,296,2.66,1318,700,62,2045
666,Palo Alto Networks,4256,0.25,499,0.00,10242,61308,16,10473
667,Maximus,4255,0.23,291,0.36,4119,4641,10,35800
668,Dentsply Sirona,4251,0.27,421,0.00,9220,10708,23,15000
669,Hub Group,4232,0.21,172,1.33,2437,2679,2,4700
670,Voya Financial,4230,0.54,2126,0.00,171262,7042,338,5970
670,Bread Financial Holdings,4230,0.06,801,2.75,21746,2805,101,6000
672,Weis Markets,4224,0.03,109,0.09,1911,1921,61,24000
673,Century Communities,4216,0.33,499,1.42,3497,1783,44,1600
674,Synopsys,4204,0.14,758,0.14,8752,51023,23,16361
675,Brink's,4200,0.14,105,5.58,5567,3234,25,73350
676,Lennox International,4194,0.15,464,0.30,2172,9447,23,11000
677,Service Corp. International,4143,0.18,803,0.56,15691,10581,7,20840
678,Conduent,4140,0.01,28,0.00,4036,1112,74,60000
679,Timken,4133,0.18,369,0.30,5171,4540,10,18029
680,Domtar,4132,0.11,27,0.00,4854,0,127,6100
681,Bloomin' Brands,4122,0.30,216,0.00,3294,1967,33,82000
682,CNO Financial Group,4122,0.08,441,0.46,36204,2946,50,3350
683,Snap,4117,0.64,488,0.00,7536,58458,156,5661
684,Zoom Video Communications,4100,0.55,1376,1.05,7551,35066,126,6787
685,Patrick Industries,4078,0.64,225,1.32,2651,1408,159,11000
686,Paychex,4057,0.00,1098,0.00,9227,49268,69,15000
687,Atlas Air Worldwide Holdings,4031,0.26,493,0.37,6443,2523,21,4056
688,Bright Health Group,4029,2.34,1185,0.00,3598,1214,0,3203
689,Peloton Interactive,4022,1.20,189,0.00,4486,8761,0,8662
690,Country Financial,4016,0.65,419,0.47,16327,0,164,3149
691,Qorvo,4015,0.24,734,1.19,7222,13456,14,8750
692,Catalent,3998,0.29,585,1.65,9112,19863,36,17300
693,Mercury General,3993,0.06,248,0.34,6773,3045,55,4300
694,AMN Healthcare Services,3984,0.66,327,3.63,3132,4796,168,3800
695,Tri Pointe Homes,3982,0.22,469,0.66,4336,2160,5,1390
696,ArcBest,3980,0.35,214,2.00,2113,1980,59,14000
697,Toro,3960,0.17,410,0.24,2936,8937,10,10982
698,Spirit AeroSystems Holdings,3953,0.16,541,0.00,7737,5131,14,16100
699,Align Technology,3953,0.60,772,0.57,5942,34355,151,22540
700,loanDepot,3943,0.11,114,0.94,11812,1290,117,11307
701,APi Group,3940,0.10,47,0.00,5159,4891,45,13300
702,American Water Works,3930,0.04,1263,0.78,26075,30086,62,6400
703,Matson,3925,0.65,927,3.80,3693,4928,163,4259
704,Diebold Nixdorf,3905,0.00,79,0.00,3507,531,76,22000
705,Marriott Vacations Worldwide,3890,0.35,49,0.00,9613,6620,64,20300
706,Terex,3887,0.26,221,0.00,2864,2486,29,8600
707,Sally Beauty Holdings,3875,0.10,240,1.12,2847,1721,39,29000
708,Enovis,3854,0.26,72,0.68,8515,6419,29,16200
709,IAC/InterActiveCorp,3845,0.26,598,1.22,12300,9001,31,13200
710,Meritor,3833,0.26,199,0.19,2938,2519,32,9600
711,Ventas,3828,0.01,49,0.89,24718,24676,77,434
712,GoDaddy,3816,0.15,242,0.00,7417,14019,15,6611
713,Regal Rexnord,3810,0.31,210,0.11,10282,10002,50,30000
714,Puget Energy,3806,0.14,261,0.43,15872,0,19,3185
715,Clean Harbors,3806,0.21,203,0.51,5654,6074,6,18300
716,Pinnacle West Capital,3804,0.06,619,0.12,22003,8820,59,5872
717,eXp World Holdings,3771,1.10,81,1.61,414,3149,0,1669
718,Mueller Industries,3769,0.57,469,2.36,1729,3100,143,5337
719,Wynn Resorts,3764,0.80,756,0.00,12531,9243,221,26950
720,RH,3759,0.32,689,1.53,5541,7079,57,6100
721,EPAM Systems,3758,0.41,482,0.47,3523,16871,87,58824
722,M/I Homes,3746,0.23,397,0.65,3240,1262,19,1657
723,Generac Holdings,3737,0.50,551,0.57,4878,18960,122,9248
724,Mettler0Toledo International,3718,0.21,769,0.28,3327,31220,10,16700
725,Abercrombie & Fitch,3713,0.19,263,0.00,2940,1620,1,19250
726,Teradyne,3703,0.19,1015,0.29,3809,19203,0,5900
727,American Equity Investment Life Holding,3690,0.52,474,0.29,78349,3869,130,850
728,Southwest Gas Holdings,3681,0.12,201,0.14,12765,5234,30,12720
729,Pitney Bowes,3674,0.03,1,0.00,4959,900,65,11500
730,Lamb Weston Holdings,3671,0.03,318,0.13,4209,8699,95,7800
731,Alliant Energy,3669,0.07,659,0.07,18553,15671,51,3313
732,Resolute Forest Products,3664,0.31,307,29.70,3538,992,51,6900
733,Parsons,3661,0.07,64,0.35,3831,4012,108,15500
734,Trimble,3659,0.16,493,0.26,7100,18123,14,11931
735,OGE Energy,3654,0.72,737,0.00,12606,8164,198,2185
736,Garrett Motion,3633,0.20,0,0.00,2706,464,7,7600
737,Winnebago Industries,3630,0.54,282,3.59,2063,1771,140,6532
738,Ciena,3621,0.03,500,0.38,4865,9223,72,7205
739,PriceSmart,3620,0.09,98,0.25,1706,2434,45,10400
740,Advantage Solutions,3602,0.14,55,0.00,5854,2030,22,45000
741,H&R Block,3589,0.36,684,0.00,4014,4285,70,38000
742,iHeartMedia,3558,0.21,159,0.00,8881,2728,11,9990
743,Super Micro Computer,3557,0.07,112,0.33,2242,1963,50,4155
744,Flowserve,3541,0.05,126,0.03,4750,4681,101,16000
745,Charles River Laboratories International,3540,0.21,391,0.07,7024,14425,15,19300
746,A.O. Smith,3539,0.22,487,0.41,3474,10032,21,13700
747,New Residential Investment,3533,5.13,772,0.00,39742,5125,0,12296
748,Medical Mutual of Ohio,3515,0.00,78,0.22,2646,0,81,2834
749,Granite Construction,3502,0.02,10,0.00,2495,1505,86,2600
750,Valmont Industries,3502,0.21,196,0.39,3447,5083,16,11041
751,Sprague Resources,3498,0.50,69,3.04,1418,434,135,757
752,Primoris Services,3498,0.00,116,0.10,2543,1270,79,10810
753,Cboe Global Markets,3495,0.02,529,0.13,6815,12148,74,1196
754,Carter's,3486,0.15,340,2.10,3202,3763,9,15900
755,TopBuild,3486,0.28,324,0.31,4259,5987,40,13006
756,SiteOne Landscape Supply,3476,0.29,238,0.97,2116,7256,46,5475
757,Texas Roadhouse,3464,0.44,245,6.85,2512,5788,103,73300
758,Akamai Technologies,3461,0.08,652,0.17,8139,19210,47,8700
759,Acuity Brands,3461,0.04,306,0.23,3575,6629,63,13000
759,Brown0Forman,3461,0.03,903,0.09,6522,31377,70,4700
761,Navient,3454,0.07,717,0.74,80605,2592,117,5263
762,Coterra Energy,3449,1.35,1158,4.78,19900,21872,0,936
763,Option Care Health,3439,0.13,140,0.00,2791,5139,19,6334
764,Floor & Decor Holdings,3434,0.42,283,0.45,3731,8574,92,9276
765,Public Storage,3416,0.17,1953,0.44,17381,68438,3,5800
766,Cabot,3409,0.30,250,0.00,3306,3871,47,4500
767,Crane Holdings,3408,0.16,435,1.41,4487,6159,10,11000
768,Atmos Energy,3408,0.21,666,0.11,19609,16183,10,4684
769,Selective Insurance Group,3379,0.16,404,0.64,10461,5392,8,2440
770,Take0Two Interactive Software,3373,0.09,589,0.46,6028,17744,40,6495
771,Boyd Gaming,3370,0.55,464,0.00,6224,7234,145,15114
772,Plexus,3369,0.01,139,0.18,2462,2299,87,19200
773,ScanSource,3364,0.07,11,0.00,1672,891,118,2200
774,Franchise Group,3363,0.56,364,13.51,3913,1670,150,11895
775,NLV Financial,3351,0.30,392,1.03,41942,0,48,1157
776,CrossAmerica Partners,3351,0.87,22,0.80,1270,827,0,2218
777,Mr. Cooper Group,3344,0.22,1454,3.77,14204,3369,15,8200
778,Fortinet,3342,0.29,607,0.24,5919,54957,38,10195
779,Brinker International,3338,0.08,132,4.39,2275,1702,43,59491
780,Albemarle,3328,0.06,124,0.67,10974,25899,57,6000
781,Peabody Energy,3318,0.15,360,0.00,4950,3392,9,4900
782,Light & Wonder,3310,0.22,371,0.00,7883,5680,12,5600
783,Evercore,3307,0.45,740,1.11,3803,4275,116,1940
784,Stewart Information Services,3306,0.45,323,1.09,2813,1635,114,7300
785,Central Garden & Pet,3304,0.23,152,0.26,3117,2287,19,6750
786,GMS,3299,0.02,106,3.52,2484,2142,83,5843
787,H.B. Fuller,3278,0.18,161,0.31,4275,3505,1,6500
788,Middleby,3251,0.29,489,1.36,6384,8961,49,10624
789,Renewable Energy Group,3244,0.52,214,0.74,2559,3056,139,1196
790,MSC Industrial Direct,3243,0.02,217,0.14,2462,4758,78,6472
791,Vishay Intertechnology,3241,0.30,298,1.42,3543,2840,49,22800
792,Applied Industrial Technologies,3236,0.00,145,5.02,2272,3948,91,5947
793,Lincoln Electric Holdings,3234,0.22,277,0.34,2592,8079,16,11000
794,First Horizon,3234,0.05,999,0.18,89092,12543,108,7676
795,Spirit Airlines,3231,0.79,473,0.00,8540,2375,0,9823
796,AptarGroup,3227,0.10,244,0.14,4141,7703,37,13000
797,Citrix Systems,3217,0.01,308,0.39,6976,12705,90,9700
798,IDEXX Laboratories,3215,0.19,745,0.28,2437,46089,2,10350
799,Tetra Tech,3214,0.07,233,0.34,2577,8907,51,21000
800,Lyft,3208,0.36,1009,0.00,4774,13385,75,4453
801,Gannett,3208,0.06,135,0.00,2828,644,118,16300
802,ResMed,3197,0.08,475,0.24,4728,35463,51,7970
803,Designer Brands,3197,0.43,155,0.00,2015,991,104,13500
804,Graham Holdings,3186,0.10,352,0.17,7426,3001,36,15048
805,Vroom,3184,1.35,371,0.00,2367,365,0,1807
806,Worthington Industries,3171,0.04,724,8.19,3373,2538,68,9000
807,Calumet Specialty Products Partners,3148,0.39,260,0.00,2128,1071,96,1450
808,Xilinx,3148,0.01,647,0.18,5519,0,92,4890
809,TransUnion,3145,0.16,1387,3.04,12635,19883,13,10200
810,Travel + Leisure,3134,0.45,308,0.00,6588,4966,112,16800
811,Callaway Golf,3133,0.97,322,0.00,7748,4337,0,24800
812,Dycom Industries,3131,0.02,49,0.42,2118,2821,102,15024
