rank,name,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
93,Coca0Cola,38655,0.17,9771,0.26,94354,268770,0,79000
94,General Dynamics,38469,0.01,3257,0.03,50073,67081,10,103100
95,CHS,38448,0.35,554,0.31,17576,0,8,9941
96,USAA,37470,0.03,3300,0.16,210677,0,9,37335
97,Northwestern Mutual,36751,0.09,978,1.30,334654,0,7,7585
98,Nucor,36484,0.81,6828,8.46,25823,39954,51,28800
99,Exelon,36347,0.10,1706,0.13,133013,46684,7,31518
100,Massachusetts Mutual Life Insurance,35900,0.52,319,0.00,383292,0,23,10052
101,Northrop Grumman,35667,0.03,7005,1.20,42579,69812,15,88000
102,3M,35355,0.10,5921,0.10,47072,84738,6,95000
103,Travelers,34816,0.09,3662,0.36,120466,44129,5,30492
104,Arrow Electronics,34477,0.20,1108,0.90,19536,7951,2,20700
105,Honeywell International,34392,0.05,5542,0.16,64470,133381,11,99000
106,Dollar General,34220,0.01,2399,0.10,26327,50953,15,163000
107,Qualcomm,33566,0.43,9043,0.74,41240,172228,17,45000
108,Capital One Financial,32033,0.01,12390,3.57,432381,53260,9,50767
109,TD Synnex,31614,0.28,395,0.25,27666,9854,8,27000
110,Philip Morris International,31405,0.09,9109,0.13,41290,145615,9,69600
111,World Fuel Services,31337,0.54,74,0.33,5942,1716,36,4414
112,Performance Food Group,30399,0.21,41,0.00,7846,7881,2,22885
113,Delta Air Lines,29899,0.75,280,0.00,72459,25322,65,83000
114,American Airlines Group,29882,0.72,1993,0.00,66467,11847,60,123400
115,Netflix,29698,0.19,5116,0.85,44585,166304,0,11300
116,Paramount Global,29579,0.13,4543,0.88,58620,24629,7,25115
117,US Foods Holding,29487,0.29,164,0.00,12521,8392,11,28000
118,Danaher,29453,0.32,6433,0.76,83184,209993,12,79000
119,Jabil,29285,0.07,696,11.91,16654,8857,15,238000
120,Starbucks,29061,0.24,4199,3.52,31393,104643,5,383000
121,Mondelez International,28720,0.08,4300,0.21,67092,87159,13,79000
122,Eli Lilly,28318,0.15,5582,0.10,48806,272724,4,35238
123,Hewlett Packard Enterprise,27784,0.03,3427,0.00,57699,21725,17,60400
124,D.R. Horton,27774,0.37,4176,0.76,24016,26403,24,11788
125,Molina Healthcare,27771,0.43,659,0.02,12209,19573,30,14000
126,CBRE Group,27746,0.17,1837,1.44,22074,30414,4,105000
127,Micron Technology,27705,0.29,5861,1.18,58849,86977,8,43000
128,Broadcom,27450,0.15,6736,1.28,75570,257087,7,20000
129,Gilead Sciences,27305,0.11,6225,49.61,67952,74657,13,14400
130,PBF Energy,27253,0.80,231,0.00,11641,2933,73,3418
131,Lennar,27131,0.21,4430,0.80,33208,23413,2,10753
132,United Natural Foods,26992,0.01,149,0.00,7525,2409,25,28300
133,NRG Energy,26989,1.97,2187,3.29,23182,9289,200,6635
134,Nvidia,26914,0.61,9752,1.25,44187,684879,50,22473
135,Occidental Petroleum,26772,0.61,2322,0.00,75036,53160,48,11678
136,Salesforce,26492,0.25,1444,0.65,95209,210197,1,73541
137,Dollar Tree,26321,0.03,1328,0.01,21722,36051,26,136226
138,KKR,26141,1.72,4667,1.33,264285,51543,178,3238
139,Kraft Heinz,26042,0.01,1012,1.84,93394,48249,29,36000
140,Amgen,25979,0.02,5893,0.19,61165,134701,28,24200
141,AutoNation,25844,0.27,1373,2.60,8944,6111,4,22200
142,Penske Automotive Group,25555,0.25,1188,1.19,13465,7197,1,24797
143,PayPal Holdings,25371,0.18,4169,0.01,75803,134733,9,30900
144,Macy's,25292,0.40,1430,0.00,17590,7123,20,88857
145,Duke Energy,24677,0.05,3908,1.84,169587,85967,19,27605
146,United Airlines Holdings,24634,0.60,1964,0.00,68175,15050,54,84100
147,Visa,24105,0.10,12311,0.13,82896,480023,14,21500
148,Rite Aid,24043,0.10,91,0.00,9335,488,16,50000
149,Cummins,24021,0.21,2131,0.19,23710,29141,1,59900
150,U.S. Bancorp,23714,0.06,7963,0.61,573284,78930,37,68796
151,Paccar,23522,0.26,1852,0.43,29302,30620,8,28500
