Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
2003-0518-MEX,2003,518,,Natural,Climatological,Wildfire,Forest fire,,,Mexico,MEX,Central America,Americas,"Baja California, Chihuahua, Sonora provinces",,,,,,,,,Km2,,,,,2003,10,25,2003,11,4,,,,,,,,,,,,67.88889569,1,2029;2033;2053,,"Baja California, Chihuahua, Sonora (Adm1)."
2003-9035-MOZ,2003,9035,,Natural,Climatological,Drought,Drought,,,Mozambique,MOZ,Eastern Africa,Africa,"Magoe, Zumbu, Cahora Bassa, Changara, Moatize, Chiuta, Mutarara districts (Tete province)",,,,,,,,,Km2,,,,,2003,1,,2003,1,,9,,119500,,119500,,,,,,,67.88889569,2,,21935;21936;21938;21940;21942;21943;21945,"Cahora Bassa, Changara, Chiuta, Magoe, Moatize, Mutarara, Zumbu (Adm2)."
2003-0376-PRT,2003,376,,Natural,Climatological,Wildfire,Forest fire,,,Portugal,PRT,Southern Europe,Europe,"Braganca, Viseu, Viana do Castelo, Guarda, Castelo Branco, Portalegre, Santarem, Leira, Porto, Braga provinces, Amials de Cima city (in Pernes, Chamusca district, Santarem province), Vale de Serra city (Torres Novas district, Santarem province)","Heat wave, drought, high winds, low humidity",,,Yes,,Yes,835,4260,Km2,,,,,2003,8,,2003,9,,14,,150000,,150000,,,6000,8838,1730000,2548281,67.88889569,1;2,2388;2389;2390;2394;2405;2407;2408;2411;2413,24879;24892,"Braga, Braganca, Castelo Branco, Guarda, Leiria, Portalegre, Porto, Viana Do Castelo, Viseu (Adm1). Chamusca, Torres Novas (Adm2)."
2003-0198-RUS,2003,198,,Natural,Climatological,Wildfire,Forest fire,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Chitinskaya Oblast, Aginskiy Buryatskiy A. Okrug, Buryatiya Rep. provinces",,,,,,Yes,,17000,Km2,,,,,2003,4,,2003,7,,,,,,,,,,,,,67.88889569,1,2488;2497;2500,,"Aginskiy Buryatskiy A. Okrug, Buryatiya Rep., Chitinskaya Oblast (Adm1)."
2003-9651-RWA,2003,9651,,Natural,Climatological,Drought,Drought,,,Rwanda,RWA,Eastern Africa,Africa,"Gatsibo, Nyagatare, Bugesera district (East/Iburasirazuba province), Kibungo city (Ngoma district, East/Iburasirazuba province), Gisagara, Huye, Nyanza, Nyamagabe, Nyaruguru, Kamonyi, Muhanga, Ruhango districts (South/Amajyepfo province)",,,,,,,,,Km2,,,,,2003,3,,2007,,,,,1000000,,1000000,,,,,,,67.88889569,2,,21974;21978;21980;21981;21982;21987;21989;21992;21993;21995;21997;21999,"Bugesera, Gatsibo, Gisagara, Huye, Kamonyi, Muhanga, Ngoma, Nyagatare, Nyamagabe, Nyanza, Nyaruguru, Ruhango (Adm2)."
2003-9651-TZA,2003,9651,,Natural,Climatological,Drought,Drought,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Kaskazini Unguja, Mjini Magharibi, Kusini Unguja, Singida, Dodoma, Shinyanga, Mwanza, Tabora, Kagera, Kigoma provinces",,,,,,,,,Km2,,,,,2003,8,,2004,,,,,1900000,,1900000,,,,,,,67.88889569,1,48359;48362;48372;48377;48379;48380;48382;115004;115006;115009,,"Dodoma, Kagera, Kaskazini Unguja, Kigoma, Kusini Unguja, Mjini Magharibi, Mwanza, Shinyanga, Singida, Tabora (Adm1)."
2003-0299-USA,2003,299,,Natural,Climatological,Wildfire,Forest fire,,,United States of America (the),USA,Northern America,Americas,"Summerhaven area (Pima district, Arizona province), Lemmon mount (Pima district, Arizona province)",,,,,,,,16,Km2,,,,,2003,6,17,2003,6,20,,,,750,750,,,,,,,67.88889569,2,,28785,Pima (Adm2).
2003-0518-USA,2003,518,,Natural,Climatological,Wildfire,Forest fire,,,United States of America (the),USA,Northern America,Americas,"Fontana, Rancho Cucamonga areas (San Bernardino district, California province)",,,,,,Yes,,1133,Km2,,,,,2003,10,25,2003,11,4,14,104,27000,,27104,,,2000000,2945990,,,67.88889569,2,,28900,San Bernardino (Adm2).
2003-0786-USA,2003,786,,Natural,Climatological,Wildfire,Forest fire,,,United States of America (the),USA,Northern America,Americas,San Bernardino district (California province),,,,,,,,607,Km2,,,,,2003,10,21,2003,11,4,4,40,,,40,,,800000,1178396,3500000,5155482,67.88889569,2,,28900,San Bernardino (Adm2).
2004-0348-USA,2004,348,,Natural,Climatological,Wildfire,Forest fire,,,United States of America (the),USA,Northern America,Americas,"Carson City district (Nevada province), Los Angeles district (California province)",,Heat wave,Storm,,,,,68,Km2,,,,,2004,7,12,2004,7,16,,,200,42,242,,,,,,,69.70644216,2,,28883;30424,"Carson City, Los Angeles (Adm2)."
2004-9063-PER,2004,9063,,Natural,Climatological,Drought,Drought,,,Peru,PER,South America,Americas,Cajamarca province,,Cold wave,,,,Yes,,,Km2,,,,,2004,1,,2004,,,,,,,,,,,,,,69.70644216,1,2333,,Cajamarca (Adm1).
2004-0383-PRT,2004,383,,Natural,Climatological,Wildfire,Forest fire,,,Portugal,PRT,Southern Europe,Europe,"Vila Real, Santarem, Faro, Viseu, Braganca provinces",,Heat wave,,,,,,1080,Km2,,,,,2004,7,,2004,8,,2,,,,,,,,,,,69.70644216,1,2389;2393;2409;2412;2413,,"Braganca, Faro, Santarem, Vila Real, Viseu (Adm1)."
2004-0196-USA,2004,196,,Natural,Climatological,Wildfire,Forest fire,,,United States of America (the),USA,Northern America,Americas,"Los Angeles, Riverside, San Diego, Santa Barbara districts (California province)",,Heat wave,,,,,,66,Km2,,,,,2004,5,2,2004,5,4,,,15000,,15000,,,,,,,69.70644216,2,,28883;28897;28901;28906,"Los Angeles, Riverside, San Diego, Santa Barbara (Adm2)."
2004-9085-SOM,2004,9085,,Natural,Climatological,Drought,Drought,,,Somalia,SOM,Eastern Africa,Africa,"Sool, Sanaag, Togdheer, Nugaal, Galgaduud, Hiraan, Mudug, Bari provinces",,Food shortage,,,,,,,Km2,,,,,2004,1,,2004,1,,,,200000,,200000,,,,,,,69.70644216,1,2690;2693;2695;2700;2701;2702;2703;2704,,"Bari, Galgaduud, Hiraan, Mudug, Nugaal, Sanaag, Sool, Togdheer (Adm1)."
2004-9577-TZA,2004,9577,,Natural,Climatological,Drought,Drought,,,"Tanzania, United Republic of",TZA,Eastern Africa,Africa,"Arusha, Kilimanjaro, Manyara, Tanga provinces (Northern Highlands region), Pwani, Dar-es-salaam provinces (Northern Coast region).",,Food shortage,,,,,,,Km2,,,,,2004,10,,2004,,,,,254000,,254000,,,,,,,69.70644216,1,48357;48358;48363;48365;48373;48381,,"Arusha, Dar-es-salaam, Kilimanjaro, Manyara, Pwani, Tanga (Adm1)."
2004-9704-PRT,2004,9704,,Natural,Climatological,Drought,Drought,,,Portugal,PRT,Southern Europe,Europe,All country: all provinces selected,Lack of rain,,,,,,,,Km2,,,,,2004,9,,2005,,,,,,,,,,,,1338136,1919673,69.70644216,1,2386;2387;2388;2389;2390;2391;2392;2393;2394;2405;2406;2407;2408;2409;2410;2411;2412;2413,,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Portalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu (Adm1)."
2004-0208-RUS,2004,208,,Natural,Climatological,Wildfire,Forest fire,,,Russian Federation (the),RUS,Eastern Europe,Europe,"Kurgan, Omskaya Oblast, Novosibirskaya Oblast, Kemerovskaya Oblast, Tomskaya Oblast, Irkutskaya Oblast, Chitinskaya Oblast, Aginskiy Buryatskiy A. Okrug, Altay Rep., Krasnoyarskiy Kray provinces",Dry and hot weather,,,,,,,245,Km2,,,,,2004,5,14,2004,5,16,9,,,1000,1000,,,,,,,69.70644216,1,2489;2500;2506;2515;2525;2541;2542;2563,,"Altay Rep., Chitinskaya Oblast, Irkutskaya Oblast, Kemerovskaya Oblast, Krasnoyarskiy Kray, Novosibirskaya Oblast, Omskaya Oblast, Tomskaya Oblast (Adm1)."
2004-0446-USA,2004,446,,Natural,Climatological,Wildfire,Forest fire,,,United States of America (the),USA,Northern America,Americas,"Shasta Lake area (Shasta districts, California province)",,,,,,,,4046,Km2,,,,,2004,8,13,2004,8,14,,5,,240,245,,,,,,,69.70644216,2,,28909,Shasta (Adm2).
2004-9017-ZAF,2004,9017,,Natural,Climatological,Drought,Drought,,,South Africa,ZAF,Southern Africa,Africa,"KwaZulu-Natal, Eastern Cape, Northern Cape, Mpumalanga, North-West, Free state, Limpopo provinces",,,,,,Yes,,,Km2,,,,,2004,1,,2004,,,,,15000000,,15000000,,,,,,,69.70644216,1,2707;77310;77311;77312;77313;77314;77315,,"Eastern Cape, Free State, KwaZulu-Natal, Limpopo, Mpumalanga, North West, Northern Cape (Adm1)."
2005-9067-BDI,2005,9067,,Natural,Climatological,Drought,Drought,,,Burundi,BDI,Eastern Africa,Africa,"Busoni, Bugabira, Ntega, Kirundo districts (Kirundo province), Ruyigi, Cankuzo, Rutana, Muyinga provinces","Lack of rain, prolonged dry season",Crop failure,Famine,,Yes,Yes,,,Km2,,,,,2005,1,,2006,1,,120,,2150000,,2150000,,,,,,,72.07141045,1;2,40546;40554;40557;40558,40638;40639;40642;40643,"Cankuzo, Muyinga, Rutana, Ruyigi (Adm1). Bugabira, Busoni, Kirundo, Ntega (Adm2)."
2005-9745-CHN,2005,9745,,Natural,Climatological,Drought,Drought,,,China,CHN,Eastern Asia,Asia,Guangdong Sheng province,,Fire,,,,,,,Km2,,,,,2005,10,,2005,,,,,174000,,174000,,,,,,,72.07141045,1,903,,Guangdong Sheng (Adm1).
2005-9747-ETH,2005,9747,,Natural,Climatological,Drought,Drought,,,Ethiopia,ETH,Eastern Africa,Africa,"Afder, Liben districts (Somali province), Gode zones (Shabelle district, Somali province), Borena district (Oromiya province)",Successive failed rainy seasons,Food shortage,,,,,,,Km2,,,,,2005,11,,2006,,,,,2600000,,2600000,,,,,,,72.07141045,2,,40841;40844;47688;47709,"Afder, Borena, Liben, Shabelle (Adm2)."
2005-9238-CMR,2005,9238,,Natural,Climatological,Drought,Drought,,,Cameroon,CMR,Middle Africa,Africa,Logone-Et-Chari disctrict (Extrème-Nord province),,Famine,,,,,,,Km2,,,,,2005,3,,2005,5,,,,,,,,,,,,,72.07141045,2,,12482,Logone - Et - Chari (Adm2).
2005-9213-DJI,2005,9213,,Natural,Climatological,Drought,Drought,,,Djibouti,DJI,Eastern Africa,Africa,"Tadjourah district (Tadjourah province), Dikhil district (Dikhil province), Ali Sabieh district (Ali Sabieh province), Obock district (Obock province)",Two consecutive failed rainy seasons,Famine,,,,Yes,2800,,Km2,,,,,2005,4,,2006,4,,,,150000,,150000,,,,,,,72.07141045,2,,15272;15274;15278;15282,"Ali Sabieh, Dikhil, Obock, Tadjourah (Adm2)."
2005-0538-BOL,2005,538,,Natural,Climatological,Wildfire,Forest fire,,,Bolivia (Plurinational State of),BOL,South America,Americas,"Beni, Pando provinces",,,,,,Yes,,1000,Km2,,,,,2005,9,,2005,9,,,,3000,,3000,,,,,,,72.07141045,1,648;40443,,"Beni, Pando (Adm1)."
2005-9569-BRA,2005,9569,,Natural,Climatological,Drought,Drought,,,Brazil,BRA,South America,Americas,"Manaquiri, Atalaia Do Norte, Anori, Caapiranga districts (Amazonas province)",Lack of rain,,,,,,,,Km2,,,,,2005,10,,2005,10,,,,,,,,,,,,,72.07141045,2,,6475;6477;6486;6508,"Anori, Atalaia Do Norte, Caapiranga, Manaquiri (Adm2)."
2005-0383-CAN,2005,383,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,Québec province,,,,,,,,4000,Km2,,,,,2005,7,,2005,7,,,,,,,,,,,,,72.07141045,1,835,,Quebec / Québec (Adm1).
2005-0460-CAN,2005,460,,Natural,Climatological,Wildfire,Forest fire,,,Canada,CAN,Northern America,Americas,Ontario province,Dry wetaher and heat wave,,,,,,,275,Km2,,,,,2005,8,,2005,8,,,,,,,,,,,,,72.07141045,1,833,,Ontario (Adm1).
2005-9746-CHN,2005,9746,,Natural,Climatological,Drought,Drought,,,China,CHN,Eastern Asia,Asia,"Shanxi Sheng, Nei Mongol Zizhiqu, Ningxia Huizu Zizhiqu, Hunan Sheng, Guizhou Sheng provinces",,,,,,,,,Km2,,,,,2005,7,7,2005,,,,,7600000,,7600000,,,,,,,72.07141045,1,905;912;917;918;923,,"Guizhou Sheng, Hunan Sheng, Nei Mongol Zizhiqu, Ningxia Huizu Zizhiqu, Shanxi Sheng (Adm1)."
